universe_id,det_at,det_ccu,growth_percent,baseline,ccu_72h,ccu_7d,retention_72h,retention_7d,sustained_72h,sustained_7d
107172930,2026-05-16,1746.0,27.028010185522007,1071.0,1396.0,1644.0,0.48148148148148145,0.8488888888888889,1.0,1.0
107172930,2026-05-27,1566.0,28.677074774034512,1293.0,1923.0,1973.0,2.3076923076923075,2.490842490842491,1.0,1.0
107172930,2026-06-03,2005.5,28.065134099616856,1573.5,2222.0,2176.0,1.5011574074074074,1.3946759259259258,1.0,1.0
110181652,2026-02-22,2961.0,35.763411279229715,1932.0,1749.0,2117.75,-0.17784256559766765,0.18051506316812438,0.0,0.0
110181652,2026-03-08,2702.0,27.58824223822453,2125.0,1757.0,2442.5,-0.6377816291161178,0.550259965337955,0.0,1.0
110181652,2026-03-29,4127.0,74.87288135593221,2081.0,,,,,,
110181652,2026-05-25,2833.0,25.687666370896185,2082.0,2091.5,2218.0,0.012649800266311585,0.1810918774966711,0.0,0.0
111958650,2025-12-22,6758.0,36.01690651101942,5721.5,6681.5,7984.0,0.9261939218523878,2.1828268210323203,1.0,1.0
111958650,2025-12-30,8119.0,28.546548448385057,5909.0,7598.0,5071.0,0.7642533936651583,-0.37918552036199094,1.0,0.0
113491250,2025-12-24,3164.5,33.49504323982283,2372.5,3553.0,3629.5,1.490530303030303,1.5871212121212122,1.0,1.0
115797356,2026-05-26,662.0,36.49484536082474,783.5,844.0,,,,,
124283622,2026-01-26,1788.0,190.73170731707316,982.0,985.0,1272.0,0.0037220843672456576,0.3598014888337469,0.0,1.0
147332621,2026-01-30,914.0,38.27534039334342,758.5,816.5,1023.0,0.3729903536977492,1.7009646302250805,0.0,1.0
147332621,2026-02-10,896.0,25.666199158485277,729.0,1041.5,1001.0,1.8712574850299402,1.6287425149700598,1.0,1.0
147332621,2026-02-18,1099.0,34.18803418803419,903.5,1237.0,724.0,1.7058823529411764,-0.9181585677749361,1.0,0.0
184199275,2026-01-12,22736.0,365.61540036862584,,20610.0,26285.0,,,,
184199275,2026-01-19,27924.0,25.74979735206701,22206.0,6401.0,20419.0,-2.7640783490731025,-0.31252186079048616,0.0,0.0
184199275,2026-01-28,10850.0,25.70965125709651,19863.5,20049.0,7556.0,,,,
210851291,2025-12-31,19096.0,27.886418430216985,17263.25,23684.5,18798.5,3.5036147865229847,0.8376756240622016,1.0,0.0
210851291,2026-01-30,18950.0,51.69708613512648,16707.25,16024.0,15705.0,-0.30464831122505853,-0.44688440530598594,0.0,0.0
210851291,2026-02-10,12126.5,27.835757959097617,14245.25,14950.5,14596.0,,,,
210851291,2026-03-02,14535.5,30.703174174984266,15691.25,8956.0,12618.5,,,,
210851291,2026-03-12,12449.0,39.00178651183564,13817.0,20365.5,14135.0,,,,
210851291,2026-05-01,16125.0,39.248704663212436,11662.5,13404.0,13340.0,0.3902521008403361,0.37591036414565826,1.0,1.0
245662005,2025-12-21,18716.5,44.00630914826498,10933.0,15531.5,15659.25,0.5908010535106315,0.6072139782874029,1.0,1.0
245662005,2025-12-30,19461.0,25.30019637510865,14658.75,17489.0,11738.75,0.5893591545629653,-0.6080483106876985,1.0,0.0
245662005,2026-01-25,18655.0,48.255582929349124,10608.5,9073.0,13541.0,-0.19082831044553533,0.36444416827191944,0.0,1.0
245662005,2026-02-12,10545.0,36.18752421542038,9981.0,12735.0,10048.0,4.882978723404255,0.11879432624113476,1.0,0.0
245662005,2026-02-21,16202.5,27.228111503729878,10605.0,9206.0,13061.0,-0.24993300580616346,0.43876730683340776,0.0,1.0
245662005,2026-05-25,7296.0,26.151984092677445,5354.75,6354.5,7164.0,0.515003219575016,0.9320025756600129,1.0,1.0
274816972,2026-05-14,3090.5,30.455888560574078,2214.75,3855.0,,1.872966029117899,,1.0,
274816972,2026-06-01,2826.0,33.997155049786635,,,,,,,
300039023,2026-01-24,1553.0,45.54826616682287,1271.0,,,,,,
321778215,2025-12-25,9152.0,38.8560157790927,8045.5,10144.0,12623.0,1.89652056032535,4.1369182105738815,1.0,1.0
321778215,2026-01-02,12623.0,37.92613636363637,9317.0,12631.0,10613.0,1.0024198427102238,0.39201451905626133,1.0,1.0
321778215,2026-01-10,16707.0,32.269812366400124,12650.5,8316.0,9235.0,-1.0685319857019597,-0.8419820041908049,0.0,0.0
321778215,2026-01-24,12339.5,33.616675690308604,8775.5,7533.5,8170.0,-0.3484848484848485,-0.16989337822671155,0.0,0.0
321778215,2026-02-15,13254.5,81.27051422319475,6622.0,10365.0,16804.0,0.5643422540520165,1.53516773464003,1.0,1.0
321778215,2026-02-22,17197.5,44.21988343326764,5269.25,8614.0,12409.0,0.28040575943663154,0.5985580449772598,1.0,1.0
321778215,2026-03-02,16145.0,55.9451366753598,11676.25,11273.0,10734.0,-0.09023776223776224,-0.21085314685314685,0.0,0.0
321778215,2026-04-02,9035.5,27.647100374373103,8478.5,8745.0,6577.0,0.4784560143626571,-3.4138240574506282,0.0,0.0
321778215,2026-05-25,6722.0,39.07106651494776,4516.25,7301.5,7732.0,1.2627224300124673,1.4578941403150856,1.0,1.0
324740367,2026-04-25,233.0,202.59740259740258,75.5,138.0,,0.3968253968253968,,1.0,
371263894,2026-03-02,6177.0,36.17724867724868,6143.25,3850.0,3862.0,-67.94814814814815,-67.5925925925926,0.0,0.0
371263894,2026-03-18,5006.0,29.621957534955985,3862.0,5544.0,5123.5,1.4702797202797202,1.1027097902097902,1.0,1.0
371263894,2026-05-31,11282.0,103.53599134042936,5543.0,8305.5,7544.0,0.48135563687053495,0.34866701515943543,1.0,1.0
372226183,2026-01-18,26655.5,51.09542839327722,18025.25,26043.0,31886.0,0.9290287071637554,1.606065872946902,1.0,1.0
372226183,2026-01-25,46042.0,117.09732176537156,17507.5,16806.0,21487.0,-0.024584275175664548,0.13946275561162802,0.0,1.0
372226183,2026-03-12,15181.0,55.7504873294347,14713.75,27813.5,20543.0,28.035848047084002,12.47565543071161,1.0,1.0
372226183,2026-03-19,20024.5,34.82242046793469,15016.75,21822.0,15520.0,1.3589436373620887,0.10049423393739704,1.0,0.0
372226183,2026-05-01,20218.5,30.018327384971542,15223.75,16639.5,15420.0,0.28344762000100104,0.03929125581860954,0.0,0.0
383310974,2025-12-26,342665.0,33.79680877440616,267054.25,315678.0,310659.5,0.6430798530632218,0.5767070158674527,1.0,1.0
383310974,2026-01-21,286658.5,26.01675337892046,245393.25,332953.0,247955.0,2.1218761548760763,0.06208007948576587,1.0,0.0
578392296,2026-01-12,8022.5,35.32090748081303,,8195.0,9838.0,,,,
601130232,2025-12-29,220724.0,96.05359577557991,80784.25,199868.5,184515.0,0.8509680058739565,0.7412529320654068,1.0,1.0
605887098,2026-03-15,7878.0,103.40821068938808,,5828.0,6126.0,,,,
648454481,2025-12-24,20944.5,27.566464658769068,17642.5,45665.0,45082.5,8.486523319200485,8.310115081768625,1.0,1.0
648454481,2025-12-31,45082.5,115.24743966196375,19001.5,52306.5,38823.0,1.2769832445074958,0.7599976994747134,1.0,1.0
648454481,2026-04-20,5527.5,31.607142857142854,5170.25,4131.0,3609.0,-2.9090272918124565,-4.370188943317005,0.0,0.0
648454481,2026-05-22,3032.0,37.755565651976376,2212.75,3428.0,3827.0,1.4833689350015258,1.9703997558742752,1.0,1.0
648454481,2026-05-29,3827.0,26.220316622691293,2353.5,3823.5,3593.0,0.997624703087886,0.8411944350186631,1.0,1.0
703124385,2025-12-26,20223.0,32.81450103438085,14649.5,21458.0,24227.0,1.2215842827666636,1.7183995693908676,1.0,1.0
703124385,2026-01-11,21207.0,32.60176327143125,22594.75,14108.5,11911.0,,,,
703124385,2026-01-24,18291.0,70.70461969202053,13188.75,8376.5,11033.0,-0.9431623303444558,-0.4225096771032388,0.0,0.0
703124385,2026-02-07,16156.5,46.43795885072057,12590.75,10298.0,13968.5,-0.6429923578489799,0.38638435111827807,0.0,1.0
703124385,2026-03-02,8280.5,31.22820919175911,11510.0,5217.0,7692.5,,,,
703124385,2026-03-12,7901.5,51.456775924861034,8176.0,11077.0,9403.5,,,,
703124385,2026-03-24,7735.5,40.61988729321941,7741.5,7151.0,9014.5,,,,
703124385,2026-04-02,10068.5,28.20398548417903,8226.0,10099.0,6865.0,1.0165535956580734,-0.7386702849389416,1.0,0.0
703124385,2026-04-11,12343.5,47.93264621284756,9006.25,6348.0,8440.0,-0.7965390665967488,-0.16967563113341824,0.0,0.0
703124385,2026-05-27,7236.0,25.103734439834025,7571.5,9172.0,9422.0,,,,
703124385,2026-06-03,9779.0,35.1437258153676,7298.5,9392.0,8546.0,0.8439830679298529,0.5029227978230195,1.0,1.0
753724558,2026-04-02,219.0,33.130699088145896,174.75,245.0,119.0,1.5875706214689265,-1.2598870056497176,1.0,0.0
807765388,2026-04-20,366.0,44.66403162055336,,,,,,,
839922895,2026-02-24,190.0,25.0,,175.0,162.75,,,,
839922895,2026-03-18,165.0,27.413127413127413,152.5,139.0,146.0,-1.08,-0.52,0.0,0.0
839922895,2026-03-27,169.5,28.40909090909091,139.0,169.5,153.0,1.0,0.45901639344262296,1.0,1.0
850110028,2026-01-19,9161.0,156.14427512931636,5505.0,3530.0,6948.0,-0.5402078774617067,0.3946936542669584,0.0,1.0
873703865,2026-02-20,1731.0,25.662431941923774,1513.5,,,,,,
903807016,2025-12-21,9561.5,26.341173361522195,7839.5,10131.0,15969.0,1.3307200929152148,4.720963995354239,1.0,1.0
903807016,2025-12-28,17564.0,164.160024063769,7148.25,16568.0,15015.0,0.9043755850514845,0.7552744641528455,1.0,1.0
903807016,2026-01-24,12471.0,46.786723163841806,8086.75,7227.5,9533.0,-0.19598563038147915,0.32987398072646407,0.0,1.0
903807016,2026-03-12,5232.5,27.808988764044944,6754.0,8468.5,6356.0,,,,
903807016,2026-05-03,8323.0,29.843993759750393,6038.5,5198.0,6346.0,-0.36791420442109873,0.1346027577150361,0.0,0.0
903807016,2026-05-14,6344.0,33.966846161968114,5585.5,7885.0,6057.5,3.031641397495056,0.6222808174027686,1.0,0.0
911750776,2026-05-18,1782.5,32.08595776213413,2087.0,1255.0,,,,,
918677693,2026-01-30,1827.5,54.61082910321488,1552.0,1389.0,,-0.5916515426497277,,0.0,
918677693,2026-05-18,1197.5,34.098544232922734,1178.25,1209.0,1396.0,1.5974025974025974,11.311688311688311,0.0,1.0
918677693,2026-05-27,1269.0,47.21577726218097,1209.0,1533.5,1174.5,5.408333333333333,-0.575,1.0,0.0
972475338,2026-01-18,5687.5,39.092687698703834,3713.25,3279.5,4779.5,-0.21970368494364947,0.5400785108268963,0.0,1.0
972475338,2026-03-18,2635.0,39.75072924953593,1943.5,3272.0,2270.5,1.9211858279103398,0.47288503253796094,1.0,1.0
972475338,2026-04-04,3737.0,25.571236559139788,2502.75,3020.0,3489.5,0.41908041320640066,0.7994733643913308,1.0,1.0
972475338,2026-05-25,4495.0,95.56232325429627,2134.0,4301.0,4515.5,0.9178314273612876,1.0086827615417195,1.0,1.0
985731078,2026-01-21,2528.0,103.78879484079,,2479.0,2167.75,,,,
985731078,2026-02-04,3175.0,46.46522892399954,2340.25,2775.0,1971.0,0.5208146151542378,-0.44234800838574423,1.0,0.0
985731078,2026-03-22,4358.0,47.47884940778342,2919.25,2887.25,,-0.022241529105125977,,0.0,
994732206,2025-12-22,373916.0,33.8665330087355,283306.0,503792.0,640683.0,2.4333517271824303,3.9441231652135524,1.0,1.0
994732206,2025-12-29,607610.0,69.33088091854081,277716.0,630106.0,511362.75,1.0681916009384833,0.7082479523725803,1.0,1.0
1000233041,2026-01-26,14079.0,26.71226712267123,11019.5,7817.0,10915.5,-1.0467396633436836,-0.033992482431769895,0.0,0.0
1000233041,2026-02-12,7275.0,30.09656652360515,8715.25,12008.0,8689.0,,,,
1000233041,2026-03-16,10361.0,46.073593683913714,6968.75,9166.0,10198.0,0.6477264352568355,0.9519492961898445,1.0,1.0
1001911915,2026-02-16,3498.5,53.64514712340799,2394.75,3063.0,2047.0,0.605436013590034,-0.31506228765571914,1.0,0.0
1001911915,2026-02-25,3319.0,66.11611611611612,2813.25,3556.0,1997.0,1.4686109738012851,-1.6139396935244685,1.0,0.0
1001911915,2026-03-15,2332.0,26.601520086862106,2037.5,1464.5,1709.0,-1.9456706281833616,-1.1154499151103565,0.0,0.0
1001911915,2026-04-02,1626.0,30.288461538461537,1364.5,1639.0,1161.0,1.0497131931166348,-0.7782026768642447,1.0,0.0
1001911915,2026-04-11,1840.5,28.168523676880223,1435.75,1132.5,1026.0,-0.7492279184681903,-1.012353304508956,0.0,0.0
1001911915,2026-04-20,1572.0,34.129692832764505,1383.75,938.0,1011.0,-2.3678618857901728,-1.9800796812749004,0.0,0.0
1001911915,2026-06-01,2248.0,40.67584480600751,1742.5,1772.0,1678.0,0.058358061325420374,-0.12759643916913946,0.0,0.0
1053132402,2026-01-30,2158.0,55.6998556998557,1723.0,1835.5,2049.5,0.25862068965517243,0.7505747126436781,0.0,1.0
1053132402,2026-03-12,1634.0,30.61550759392486,1638.0,2797.0,1809.0,,,,
1053132402,2026-03-23,1781.0,29.621542940320232,1626.75,1865.0,1976.5,1.5445705024311183,2.26742301458671,1.0,1.0
1053132402,2026-05-16,2114.0,25.60903149138443,1710.5,1513.0,2301.0,-0.48946716232961585,1.4634448574969021,0.0,1.0
1053132402,2026-05-25,1974.0,30.340046219874544,1528.25,,1897.5,,0.8283791362871564,,1.0
1053132402,2026-06-03,2168.0,41.237785016286644,1802.5,2832.0,1615.5,2.8166894664842683,-0.5116279069767442,1.0,0.0
1054526971,2025-12-21,11478.5,95.58679446219382,6725.0,7337.0,7445.5,0.12874723887661724,0.15157252550752076,0.0,1.0
1054526971,2026-03-07,10560.0,87.66660742846987,4365.25,6126.5,8353.5,0.28431332983574803,0.643811291819686,1.0,1.0
1054526971,2026-05-22,5488.0,40.537772087067864,3755.75,7081.0,6753.5,1.919613219800837,1.7305527493144754,1.0,1.0
1157126388,2026-02-08,2277.0,35.05338078291815,1686.0,,1873.0,,0.3164128595600677,,1.0
1170436920,2026-01-15,104.0,30.81761006289308,79.5,88.0,72.0,0.3469387755102041,-0.30612244897959184,1.0,0.0
1170436920,2026-01-24,119.5,35.79545454545455,88.0,55.0,90.5,-1.0476190476190477,0.07936507936507936,0.0,0.0
1170436920,2026-02-03,71.0,29.09090909090909,81.5,94.0,92.0,,,,
1170436920,2026-02-10,94.5,33.098591549295776,80.0,94.5,99.0,1.0,1.3103448275862069,1.0,1.0
1170436920,2026-02-18,115.0,38.55421686746988,93.0,106.0,76.0,0.5909090909090909,-0.7727272727272727,1.0,0.0
1170436920,2026-03-11,94.5,35.0,82.75,107.5,77.0,2.106382978723404,-0.48936170212765956,1.0,0.0
1170436920,2026-03-24,69.0,30.18867924528302,69.25,69.0,71.5,,,,
1170436920,2026-04-06,109.0,59.12408759124088,69.0,55.0,64.0,-0.35,-0.125,0.0,0.0
1170436920,2026-04-29,75.0,47.05882352941176,67.5,,,,,,
1176784616,2025-12-29,33574.0,52.72016011644832,6245.0,36915.5,26854.0,1.1222693841706612,0.7541073584836621,1.0,1.0
1176784616,2026-01-29,19606.0,31.9913827925138,18519.75,25265.0,13497.0,6.209666283084005,-4.623935558112773,1.0,0.0
1176784616,2026-02-16,21353.0,32.48743562697772,17361.5,18539.0,11742.0,0.29500187899285985,-1.407866716773143,0.0,0.0
1198533421,2026-02-08,2492.0,68.83468834688347,,1515.0,1683.0,,,,
1198533421,2026-04-11,2656.5,99.13793103448276,1334.0,1589.0,1816.0,0.19281663516068054,0.36446124763705107,1.0,1.0
1198533421,2026-05-25,1457.0,32.514779445202365,1215.5,1146.0,1058.5,-0.28778467908902694,-0.650103519668737,0.0,0.0
1202096104,2026-01-11,25373.0,27.224408955298717,21547.0,16145.5,20001.0,-1.411787767903816,-0.40407736539466804,0.0,0.0
1202096104,2026-01-30,19800.0,56.53411336864574,16734.0,20757.0,18704.0,1.312133072407045,0.6425309849967384,1.0,1.0
1202096104,2026-02-07,36579.5,76.22729681553211,18751.0,14897.0,20657.0,-0.2161707378635331,0.10690747959727402,0.0,1.0
1202096104,2026-02-16,24474.5,43.570716255059544,17875.5,17719.5,11407.0,-0.023639945446279738,-0.980224276405516,0.0,0.0
1202096104,2026-03-12,14751.5,25.352651257647857,15659.5,25740.5,19104.0,,,,
1202096104,2026-03-19,19104.0,29.505474019591226,15075.25,24073.0,14446.0,2.2333850449891406,-0.1561898852001241,1.0,0.0
1202096104,2026-04-18,34338.0,36.07291460273429,24869.5,19599.0,24231.0,-0.5566351586840577,-0.0674341236732323,0.0,0.0
1202096104,2026-05-01,23769.5,32.90930440617312,19198.5,18097.0,23132.0,-0.2409757164734194,0.8605338000437541,0.0,1.0
1202096104,2026-05-09,32288.5,30.81270510067658,19931.75,17656.0,32770.0,-0.18417059501891678,1.0389665567402433,0.0,1.0
1202096104,2026-05-18,23819.5,33.05496592559491,19364.0,18578.0,20759.0,-0.17641117719672314,0.31309617326899336,0.0,0.0
1202096104,2026-05-28,25792.0,38.83087522876521,21943.0,27556.0,27878.0,1.4583008573655496,1.5419589503767213,1.0,1.0
